Артикул_ВБ	Название	Бренд	Заказов_6мес_2026	Локализация_сейчас_%	Прибыльность_факт_после_рекламы	Тренд_заказов_апр_май_июн_2026	Сезонность_2025	Остаток_по_РФ_всего	Регион	Рекомендуемый_склад	Остаток_в_регионе_сейчас	Целевой_остаток_мес_с_сезонностью	Отгрузить_шт	Статус
437850261	Гидрофильное масло для лица для умывания Корея	round lab	149	49.0	УБЫТОЧНЫЙ (-65₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	18→19→6	июль'25=0.40x от среднего (ограничено, факт 0.06x), пик 2025: ноя	20	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	3	0	НЕ отгружать — сначала юнитка
214312385	Антивозрастная сыворотка для лица с аргирелином 10%	The ordinary	144	49.3	Прибыльный (251₽/шт)	26→21→18	июль'25=0.40x от среднего (ограничено, факт 0.21x), пик 2025: янв	22	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	2	1	Переброска
437238521	Тоник для лица увлажняющий успокаивающий Корея	round lab	125	32.8	Прибыльный (1080₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.03x), пик 2025: дек	0	Южный и Северо-Кавказский	Краснодар	0	2	2	Нужна допзакупка
437238521	Тоник для лица увлажняющий успокаивающий Корея	round lab	125	32.8	Прибыльный (1080₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.03x), пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	2	2	Нужна допзакупка
180711041	Антивозрастные гидрогелевые патчи с золотом и EGF	Petitfee	125	56.8	Прибыльный (554₽/шт)	13→13→7	июль'25=1.12x от среднего, пик 2025: ноя	43	Северо-Западный	СПБ Шушары	0	5	5	Переброска
165008074	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	123	37.4	Прибыльный (1006₽/шт)	16→0→0	июль'25=0.42x от среднего, пик 2025: апр	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	2	2	Нужна допзакупка
165008074	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	123	37.4	Прибыльный (1006₽/шт)	16→0→0	июль'25=0.42x от среднего, пик 2025: апр	0	Приволжский	Казань	0	2	2	Нужна допзакупка
207818000	Сыворотка для глубокого очищения лица		118	43.2	Низкая маржа (99₽/шт)	11→16→17	июль'25=0.40x от среднего (ограничено, факт 0.32x), пик 2025: фев	63	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	2	2	Переброска
333259566	Маски для лица тканевые	JMSolution	115	46.1	Прибыльный (628₽/шт)	0→0→0	июль'25=0.73x от среднего, пик 2025: май	0	Уральский	Екатеринбург - Перспективная 14	0	2	2	Нужна допзакупка
333259566	Маски для лица тканевые	JMSolution	115	46.1	Прибыльный (628₽/шт)	0→0→0	июль'25=0.73x от среднего, пик 2025: май	0	Северо-Западный	СПБ Шушары	0	2	2	Нужна допзакупка
179611304	Тонизирующие патчи для глаз гидрогелевые с какао	Petitfee	108	56.5	Прибыльный (1147₽/шт)	13→30→17	июль'25=0.96x от среднего, пик 2025: янв	122	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	3	3	Переброска
664171648	Гидрогелевые маски для лица набор 5 шт.	Petitfee	101	48.5	Прибыльный (117₽/шт)	0→0→0	нет данных 2025	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	3	3	Нужна допзакупка
212719009	Корректирующий СС крем для лица тональный	dr.Jart+	85	50.6	УБЫТОЧНЫЙ (-404₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	10→18→18	июль'25=0.46x от среднего, пик 2025: ноя	5	Южный и Северо-Кавказский	Краснодар	1	2	0	НЕ отгружать — сначала юнитка
236825103	Трехшаговый набор тканевых масок для лица 10 шт.	JMSolution	85	58.8	Прибыльный (699₽/шт)	6→7→1	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	28	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	1	1	Переброска
165008162	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	84	28.6	Прибыльный (1586₽/шт)	0→0→0	июль'25=0.98x от среднего, пик 2025: июн	0	Приволжский	Казань	0	4	4	Нужна допзакупка
165008162	Солнцезащитный крем СПФ 50 для лица и тела	Lebelage	84	28.6	Прибыльный (1586₽/шт)	0→0→0	июль'25=0.98x от среднего, пик 2025: июн	0	Южный и Северо-Кавказский	Краснодар	0	4	4	Нужна допзакупка
307071318	Маска для лица пузырьковая глиняная	Elizavecca	83	44.6	Прибыльный (653₽/шт)	0→0→0	июль'25=0.41x от среднего, пик 2025: апр	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	2	2	Нужна допзакупка
212825852	Корейский bb крем для лица увлажняющий тон 21	MISSHA	80	37.5	Прибыльный (202445₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.28x), пик 2025: мар	0	Приволжский	Казань	0	1	1	Нужна допзакупка
212825852	Корейский bb крем для лица увлажняющий тон 21	MISSHA	80	37.5	Прибыльный (202445₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.28x), пик 2025: мар	0	Центральный	Коледино	0	1	1	Нужна допзакупка
551490295	Сыворотка для лица осветляющая	Celimax	72	58.3	УБЫТОЧНЫЙ (-35₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	9→4→19	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	42	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	1	1	0	НЕ отгружать — сначала юнитка
248928555	Гель для душа против прыщей	Some by mi	66	28.8	Прибыльный (4008₽/шт)	2→0→0	июль'25=0.48x от среднего, пик 2025: апр	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	1	1	Нужна допзакупка
248928555	Гель для душа против прыщей	Some by mi	66	28.8	Прибыльный (4008₽/шт)	2→0→0	июль'25=0.48x от среднего, пик 2025: апр	0	Северо-Западный	СПБ Шушары	0	1	1	Нужна допзакупка
551392965	Крем для восстановления барьера лица	Celimax	58	56.9	Прибыльный (1264₽/шт)	3→13→7	нет данных 2025	73	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	3	3	Переброска
212713617	Увлажняющие патчи для глаз от отеков	JMSolution	55	23.6	Прибыльный (3915₽/шт)	0→0→0	июль'25=0.93x от среднего, пик 2025: янв	0	Центральный	Коледино	0	3	3	Нужна допзакупка
212713617	Увлажняющие патчи для глаз от отеков	JMSolution	55	23.6	Прибыльный (3915₽/шт)	0→0→0	июль'25=0.93x от среднего, пик 2025: янв	0	Северо-Западный	СПБ Шушары	0	2	2	Нужна допзакупка
340752919	Патчи для глаз Корея комплект	Petitfee	40	42.5	УБЫТОЧНЫЙ (-184₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	9→5→5	июль'25=0.40x от среднего (ограничено, факт 0.24x), пик 2025: дек	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	1	0	НЕ отгружать — сначала юнитка
214304289	Успокаивающий тоник для лица 200 мл	DEOPROCE	36	33.3	Прибыльный (493₽/шт)	0→0→0	июль'25=0.65x от среднего, пик 2025: апр	0	Южный и Северо-Кавказский	Краснодар	0	1	1	Нужна допзакупка
214304289	Успокаивающий тоник для лица 200 мл	DEOPROCE	36	33.3	Прибыльный (493₽/шт)	0→0→0	июль'25=0.65x от среднего, пик 2025: апр	0	Приволжский	Казань	0	1	1	Нужна допзакупка
611717011	Консилер для лица плотный 01, корректор светлый	ENOUGH	36	55.6	Прибыльный (209₽/шт)	11→1→0	нет данных 2025	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	2	2	Нужна допзакупка
611744611	Консилер для лица плотный 02, корректор светлый	ENOUGH	31	54.8	Прибыльный (138₽/шт)	6→11→6	нет данных 2025	7	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	1	1	Переброска
206058262	Увлажняющая сыворотка для лица Корея	Elizavecca	26	50.0	Прибыльный (1046₽/шт)	5→4→4	июль'25=0.40x от среднего (ограничено, факт 0.30x), пик 2025: янв	17	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	1	1	Переброска
214301052	Увлажняющий тонер для лица Корея с центеллой азиатской	DEOPROCE	23	26.1	Прибыльный (753₽/шт)	7→0→0	июль'25=0.51x от среднего, пик 2025: апр	0	Южный и Северо-Кавказский	Краснодар	0	1	1	Нужна допзакупка
551626041	Набор уходовых средств для лица для защиты барьера	Celimax	23	30.4	Прибыльный (60545₽/шт)	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: дек	0	Приволжский	Казань	0	1	1	Нужна допзакупка
207817787	Сыворотка для глубокого очищения лица		21	47.6	Прибыльный (534₽/шт)	5→4→0	июль'25=0.40x от среднего (ограничено, факт 0.00x), пик 2025: мар	0	Дальневосточный и Сибирский	Иркутск/Новосибирск/Хабаровск (уточнить коэфф. приёмки в кабинете)	0	0	0	Переброска
248928046	Корейское мыло для лица от прыщей	Some by mi	20	40.0	УБЫТОЧНЫЙ (-353₽/шт после рекламы) — сначала пересмотреть цену/ДРР, НЕ расширять	1→4→6	июль'25=0.40x от среднего (ограничено, факт 0.38x), пик 2025: янв	29	—	—	0	0	0	Нет региона с существенным нелокальным объёмом
212720615	Успокаивающий крем-гель для лица	Isntree	20	45.0	Прибыльный (1616₽/шт)	2→3→2	июль'25=0.48x от среднего, пик 2025: мар	0	—	—	0	0	0	Нет региона с существенным нелокальным объёмом
198148122	Корейский крем для лица с бифидобактериями	manyo	16	25.0	Нет данных по марже	0→0→0	июль'25=0.65x от среднего, пик 2025: дек	0	Центральный	Коледино	0	1	1	Нужна допзакупка
1175175447	Гидрогелевые маски для лица набор увлажняющие корейские 6 шт	Petitfee	13	53.8	Нет данных по марже	0→0→0	нет данных 2025	38	—	—	0	0	0	Нет региона с существенным нелокальным объёмом
180709801	Патчи гидрогелевые c золотом и маточным молочком	Koelf	12	16.7	Нет данных по марже	0→0→0	июль'25=0.40x от среднего (ограничено, факт 0.36x), пик 2025: янв	0	Центральный	Коледино	0	0	0	Переброска
