Локация	Группа	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	ЗИП	Гайка рабочего колеса для Насос НЦВ 40/20	2	2	2	2900	5800	не указано	комплект			5800
Гараж 1		Трансформатор ОСВ-0,5 50Hz		1	1	5500	5500	не указано	комплект			5500
Склад 3	ЭЛЕКТРИКА	ЗМР2-1 замыкатель массы	1	1	1	5500	5500	не указано	комплект			5500
Склад 3	ЭЛЕКТРИКА	Переключатель ПП 3*25 СП44 камбузный выключатель	1	1	1	5500	5500	не указано	комплект			5500
Склад 3	ЭЛЕКТРИКА	Светильник СС-565 ЛВ(белый)	1	1	1	5300	5300	не указано	комплект			5300
Склад 3	ЭЛЕКТРИКА	Диски тормозные 260мм	1	1	1	5100	5100	не указано	комплект			5100
Контейнер 1		Автоматический выключатель (черный)		2	2	2500	5000	не указано	комплект			5000
Контейнер 1		Светильник СС-328 б/у в коробке		2	2	2500	5000	б/у	комплект			5000
Склад 2	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10 Ру100	521-01.469-02	2	2	2500	5000	не указано	комплект			5000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 2,5	1	1	1	4682	4682	не указано	комплект			4682
Склад 3	ЗИП	Фильтр	12	12	12	390	4680	не указано	комплект			4680
Склад 3	ЭЛЕКТРИКА	Светильник СС476 (зеленый)	1	1	1	4600	4600	не указано	комплект			4600
Склад 2	Клапан для манометра штущерный сальниковый	Клапан для манометра штущерный сальниковый Ду6Ру100 б/у	521-02.013	1	1	4500	4500	б/у	комплект			4500
Склад 2	Клапан для манометра штуцерный сальниковый Ду6Ру100	Клапан для манометра штущерный сальниковый Ду6Ру100 б/у	521-02.014	1	1	4500	4500	б/у	комплект			4500
Склад 2	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230	524-35.2423-01	1	1	4500	4500	не указано	комплект			4500
Склад 2	ЭЛЕКТРИКА	Светильник СС373 (дно)	3		3	1500	4500	не указано	комплект			4500
Склад 3	ЗИП	Клапан нагнетательный	6	6	6	750	4500	не указано	комплект			4500
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду20 ру 40	521-01.465-03	1	1	4500	4500	не указано	комплект			4500
Менеджерская	Клапан штуцерный угловой Ду6Ру100	Клапан штуцерный угловой Ду20 ру 40	521-33.3068	1	1	4500	4500	не указано	комплект			4500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 0,8А	1	1	1	4312	4312	не указано	комплект			4312
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 20А	1	1	1	4312	4312	не указано	комплект			4312
Склад 3	ЭЛЕКТРИКА	Лампочки	85	85	85	50	4250	не указано	комплект			4250
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 32А	2	2	2	2116	4232	не указано	комплект			4232
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 3МГ 35А	2	2	2	2116	4232	не указано	комплект			4232
Склад 3	ЗИП	Направляющая клапана	2	2	2	2100	4200	не указано	комплект			4200
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 25 2МГ 2,5А	1	1	1	4004	4004	не указано	комплект			4004
Склад 2	Клапан штуцерный проходной невозвратный	Клапан штуцерный проходной невозвратный Ду10Ру100	522-01-493-01	1	1	4000	4000	не указано	комплект			4000
Склад 2	Клапан штуцерный проходной Ду 10 Ру100	Клапан невозвратный штуцерный проходной Ду20 Ру40	522-3м-9	1	1	4000	4000	не указано	комплект			4000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру100	521-01..501	2	2	2000	4000	не указано	комплект			4000
Фойе		Выключатель возбуждения на генератор (автомат)		4	4	1000	4000	не указано	комплект			4000
Склад 3	ЭЛЕКТРИКА	Светильник СС967 (СС835Б) без стекла	1	1	1	3600	3600	не указано	не комплект			3600
Склад 3	ЗИП	Фильтр	12	12	12	300	3600	не указано	комплект			3600
Склад 3	ЭЛЕКТРИКА	Светильник OWP-250 220V	1	1	1	3500	3500	не указано	комплект			3500
Склад 3	ЭЛЕКТРИКА	Трансформатор ОСВМ-0,65-74 ОМ5	1	1	1	3500	3500	не указано	комплект			3500
Склад 3	ЭЛЕКТРИКА	Универсальный переключатель УП 5112-Ф105 16А 380V	1	1	1	3480	3480	не указано	комплект			3480
Склад 3	ЭЛЕКТРИКА	ТРТ-131 14,5А	2	2	2	1716	3432	не указано	комплект			3432
Контейнер 1		Лампочка HQ-T 400Вт Е40		30	30	100	3000	не указано	комплект			3000
Склад 1А/1Б		Гак		1	1	3000	3000	не указано	комплект			3000
Склад 2	Прочее	Сетка на фильтр Ду20 маленькая		1	1	3000	3000	не указано	комплект			3000
Склад 3	ЭЛЕКТРИКА	Манометр МT-УХЛ3 от0до160kgf/cm2	1	1	1	3000	3000	не указано	комплект			3000
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 8А	1	1	1	2849	2849	не указано	комплект			2849
Менеджерская	Клапан штуцерный угловой Ду6Ру100	КМ 2521-7	1	1	1	2600	2600	не указано	комплект			2600
Склад 2	Клапан муфтовый проходной запорный	Клапан муфтовый проходной запорный Ду25Ру16	521-03.124	2	2	1250	2500	не указано	комплект			2500
Склад 3	ЭЛЕКТРИКА	Манометр МT-УХЛ3 от0до60kgf/cm2	1	1	1	2500	2500	не указано	комплект			2500
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. АК 50 2МГ 25А	7	7	7	342	2394	не указано	комплект			2394
Склад 2	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10 Ру25 СТАЛЬ	521-3м-953	1	1	2000	2000	не указано	комплект			2000
Склад 2	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10 Ру63 СТАЛЬ	522-03.134	1	1	2000	2000	не указано	комплект			2000
Склад 2	Клапан штуцерный проходной	Клапан штуцерный проходной Ду 10 Ру6	521-3м-52	1	1	2000	2000	не указано	комплект			2000
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду10 Ру100	522-01.499-01	1	1	2000	2000	не указано	комплект			2000
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду10 Ру100	521-01.467-03	1	1	2000	2000	не указано	комплект			2000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру 40	Без чертежа	1	1	2000	2000	не указано	комплект			2000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру100	521-01.471-01	1	1	2000	2000	не указано	комплект			2000
Менеджерская	Клапан штуцерный проходной Ду6 Ру100	Клапан штуцерный проходной Ду 10 Ру100	522-01.497	1	1	2000	2000	не указано	комплект			2000
Склад 3	ЭЛЕКТРИКА	ТРТ-132	1	1	1	1848	1848	не указано	комплект			1848
Склад 3	ЗИП	Седло клапана	1	1	1	1600	1600	не указано	комплект			1600
Контейнер 1		Стекло к светильникам СС-328(опал)		3	3	500	1500	не указано	комплект			1500
Склад 2	Клапан муфтовый проходной запорный	Клапан муфтовый проходной запорный Ду32Ру10		1	1	1500	1500	не указано	комплект			1500
Склад 3	ЗИП	Кулачковая шайба топливная	2	2	2	750	1500	не указано	комплект			1500
Склад 3	ЭЛЕКТРИКА	РШП-2 380В 35А (вилка)	1	1	1	1373	1373	не указано	комплект			1373
Контейнер 1		Стекло к светильникам СС-328 (синий)		2	2	500	1000	не указано	комплект			1000
Склад 2	Клапан муфтовый проходной запорный	Клапан муфтовый проходной запорный Ду20Ру16		1	1	1000	1000	не указано	комплект			1000
Склад 2	ЭЛЕКТРИКА	Светильник СС854 (прикроватный) КИТАЙ	1		1	1000	1000	не указано	комплект	Китай		1000
Фойе		Стекло к светильникам СС-838		2	2	500	1000	не указано	комплект			1000
Фойе		Стекло к светильникам СС-840 брак		2	2	500	1000	не указано	брак			1000
Склад 3	ЭЛЕКТРИКА	Розетка РС-2	1	1	1	630	630	не указано	комплект			630
Склад 3	ЭЛЕКТРИКА	РС-1	1	1	1	515	515	не указано	комплект			515
Склад 3	ЭЛЕКТРИКА	Звонок ЗПВ 24В	1	1	1	299	299	не указано	комплект			299
